520	657	21.49
1080	1350	18.96
0	36	937
59.3	250	194.79
27.1	250	222.22
0	28	140.58
0	529	6.27
0	44	505.92
219.78	255	0.01
199.99	235	112.46
0	386	159.97
0	386	250.87
0	145	550.66
0	226	188.89
0	131	645.3
0	87	150
0	204	145.68
0	923	274.54
0	923	253.83
399.99	400	37.8
0	100	51.93
0	200	90.69
0	169	131.68
0	386	317.98
0	28	152.8
0	200	470.34
0	272	317.98
0	30	523.35
0	168	730.54
0	440	310.41
0	400	730.54
0	258	101.33
0	258	140.34
0	258	292.49
0	64	610.33
0	340	487.56
71.7	1058	122.65
28.8	1058	214.48
0	10	1047.38
132.98	197	0.01
0	175	329.57
0	206	197.85
0	54	733.54
